time,id,x,y,angle,type,speed,pos,lane,slope,signals
0,0,-82.837541,34.683514,9.694697,1,0,5.1,1251481341,0,0
0.1,0,-82.837541,34.683514,9.694697,1,0.248417,5.124842,1251481341,0,2
0.2,0,-82.837541,34.683515,9.694697,1,0.490305,5.173872,1251481341,0,2
0.3,0,-82.837541,34.683515,9.694697,1,0.748599,5.248732,1251481341,0,2
0.4,0,-82.837541,34.683516,9.694697,1,0.983815,5.347114,1251481341,0,2
0.5,0,-82.837541,34.683517,9.694697,1,1.207125,5.467826,1251481341,0,2
0.6,0,-82.83754,34.683519,9.694697,1,1.463926,5.614219,1251481341,0,2
0.7,0,-82.83754,34.68352,9.694697,1,1.65986,5.780205,1251481341,0,2
0.8,0,-82.83754,34.683522,9.694697,1,1.896102,5.969815,1251481341,0,2
0.9,0,-82.837539,34.683524,9.694697,1,2.097318,6.179547,1251481341,0,2
1,0,-82.837539,34.683526,9.694697,1,2.269494,6.406496,1251481341,0,2
1.1,0,-82.837539,34.683528,9.694697,1,2.528731,6.659369,1251481341,0,2
1.2,0,-82.837538,34.68353,9.694697,1,2.70124,6.929493,1251481341,0,2
1.3,0,-82.837538,34.683533,9.694697,1,2.900639,7.219557,1251481341,0,2
1.4,0,-82.837537,34.683536,9.694697,1,3.101864,7.529743,1251481341,0,2
1.5,0,-82.837537,34.683539,9.694697,1,3.288249,7.858568,1251481341,0,2
1.6,0,-82.837536,34.683542,9.694697,1,3.513861,8.209954,1251481341,0,2
1.6,1,-82.832048,34.675685,85.775093,1,0,5.1,-33478129320,0,0
1.7,0,-82.837535,34.683545,9.694697,1,3.766028,8.586557,1251481341,0,2
1.7,1,-82.832047,34.675685,85.775093,1,0.248617,5.124862,-33478129320,0,0
1.8,0,-82.837535,34.683549,9.694697,1,3.984173,8.984975,1251481341,0,2
1.8,1,-82.832047,34.675685,85.775093,1,0.491233,5.173985,-33478129320,0,0
1.9,0,-82.837533,34.683553,10.44556,1,4.238167,9.408791,1251481341,0,2
1.9,1,-82.832046,34.675686,85.775093,1,0.731965,5.247181,-33478129320,0,0
2,0,-82.837531,34.683556,11.846568,1,4.458249,9.854616,1251481341,0,2
2,1,-82.832045,34.675686,85.775093,1,0.960546,5.343236,-33478129320,0,0
2.1,0,-82.837529,34.68356,13.298163,1,4.596174,10.314234,1251481341,0,2
2.1,1,-82.832044,34.675686,85.775093,1,1.17024,5.46026,-33478129320,0,0
2.2,0,-82.837527,34.683564,14.80123,1,4.740782,10.788312,1251481341,0,2
2.2,1,-82.832042,34.675686,85.775093,1,1.40188,5.600448,-33478129320,0,0
2.3,0,-82.837525,34.683568,16.368366,1,4.930022,11.281314,1251481341,0,2
2.3,1,-82.83204,34.675686,85.775093,1,1.64221,5.764669,-33478129320,0,0
2.4,0,-82.837522,34.683573,18.018759,1,5.185807,11.799895,1251481341,0,2
2.4,1,-82.832038,34.675686,85.775093,1,1.87351,5.95202,-33478129320,0,0
2.5,0,-82.83752,34.683577,19.719515,1,5.346422,12.334537,1251481341,0,2
2.5,1,-82.832036,34.675686,85.775093,1,2.116537,6.163674,-33478129320,0,0
2.6,0,-82.837517,34.683582,21.459526,1,5.482065,12.882743,1251481341,0,2
2.6,1,-82.832033,34.675686,85.775093,1,2.372993,6.400973,-33478129320,0,0
2.7,0,-82.837515,34.683586,23.246328,1,5.653006,13.448044,1251481341,0,2
2.7,1,-82.832031,34.675687,85.775093,1,2.589923,6.659965,-33478129320,0,0
2.8,0,-82.837512,34.683591,25.098283,1,5.896187,14.037663,1251481341,0,2
2.8,1,-82.832027,34.675687,85.775093,1,2.833623,6.943328,-33478129320,0,0
2.9,0,-82.837509,34.683596,25.508053,1,6.102713,14.647934,1251481341,0,2
2.9,1,-82.832024,34.675687,85.775093,1,2.968233,7.240151,-33478129320,0,0
3,0,-82.837506,34.683602,25.508053,1,6.328383,15.280772,1251481341,0,2
3,1,-82.832021,34.675687,85.775093,1,3.199226,7.560074,-33478129320,0,0
3.1,0,-82.837503,34.683607,25.508053,1,6.566549,15.937427,1251481341,0,2
3.1,1,-82.832017,34.675688,85.775093,1,3.384917,7.898565,-33478129320,0,0
3.2,0,-82.8375,34.683613,25.508053,1,6.795169,16.616944,1251481341,0,2
3.2,1,-82.832013,34.675688,85.775093,1,3.539396,8.252505,-33478129320,0,0
3.2,2,-82.853434,34.677045,97.660188,1,0,5.1,-1252519320,0,0
3.3,0,-82.837497,34.683619,25.508053,1,7.043596,17.321304,1251481341,0,2
3.3,1,-82.832009,34.675688,85.775093,1,3.712539,8.623759,-33478129320,0,0
3.3,2,-82.853434,34.677045,97.660188,1,0.250698,5.12507,-1252519320,0,0
3.4,0,-82.837494,34.683625,25.508053,1,6.897569,18.011061,1251481341,0,10
3.4,1,-82.832005,34.675689,85.775093,1,3.88263,9.012022,-33478129320,0,0
3.4,2,-82.853434,34.677045,97.660188,1,0.486821,5.173752,-1252519320,0,0
3.5,0,-82.837491,34.68363,25.508053,1,6.572266,18.668287,1251481341,0,10
3.5,1,-82.832001,34.675689,85.775093,1,4.102618,9.422284,-33478129320,0,0
3.5,2,-82.853433,34.677045,97.660188,1,0.728428,5.246595,-1252519320,0,0
3.6,0,-82.837488,34.683635,25.508053,1,6.347805,19.303068,1251481341,0,10
3.6,1,-82.831996,34.675689,85.775093,1,4.340726,9.856356,-33478129320,0,0
3.6,2,-82.853432,34.677044,97.660188,1,0.941235,5.340718,-1252519320,0,0
3.7,0,-82.837485,34.68364,25.508053,1,6.128743,19.915942,1251481341,0,10
3.7,1,-82.831991,34.67569,85.775093,1,4.517313,10.308087,-33478129320,0,0
3.7,2,-82.853431,34.677044,97.660188,1,1.192116,5.45993,-1252519320,0,0
3.8,0,-82.837482,34.683645,25.508053,1,5.882493,20.504191,1251481341,0,10
3.8,1,-82.831986,34.67569,85.775093,1,4.741064,10.782194,-33478129320,0,0
3.8,2,-82.853429,34.677044,97.660188,1,1.412417,5.601172,-1252519320,0,0
3.9,0,-82.83748,34.68365,25.508053,1,5.499714,21.054163,1251481341,0,10
3.9,1,-82.83198,34.675691,85.775093,1,4.992357,11.28143,-33478129320,0,0
3.9,2,-82.853427,34.677044,97.660188,1,1.657451,5.766917,-1252519320,0,0
4,0,-82.837477,34.683654,25.508053,1,5.239975,21.57816,1251481341,0,10
4,1,-82.831975,34.675691,85.775093,1,5.211555,11.802585,-33478129320,0,0
4,2,-82.853425,34.677044,97.660188,1,1.884949,5.955412,-1252519320,0,0
4.1,0,-82.837475,34.683659,25.508053,1,5.108265,22.088987,1251481341,0,10
4.1,1,-82.831969,34.675691,85.775093,1,5.397826,12.342368,-33478129320,0,0
4.1,2,-82.853423,34.677044,97.660188,1,2.122731,6.167685,-1252519320,0,0
4.2,0,-82.837473,34.683663,25.508053,1,4.84902,22.573889,1251481341,0,10
4.2,1,-82.831963,34.675692,85.775093,1,5.651736,12.907541,-33478129320,0,0
4.2,2,-82.85342,34.677043,97.660188,1,2.3732,6.405005,-1252519320,0,0
4.3,0,-82.837471,34.683666,25.508053,1,4.536212,23.02751,1251481341,0,10
4.3,1,-82.831956,34.675692,85.775093,1,5.865996,13.494141,-33478129320,0,0
4.3,2,-82.853417,34.677043,97.660188,1,2.595495,6.664554,-1252519320,0,0
4.4,0,-82.837469,34.68367,25.508053,1,4.370545,23.464564,1251481341,0,10
4.4,1,-82.83195,34.675693,85.775093,1,6.037768,14.097918,-33478129320,0,0
4.4,2,-82.853414,34.677043,97.660188,1,2.800476,6.944602,-1252519320,0,0
4.5,0,-82.837467,34.683673,25.508053,1,4.088159,23.87338,1251481341,0,10
4.5,1,-82.831943,34.675693,85.775093,1,6.247101,14.722628,-33478129320,0,0
4.5,2,-82.853411,34.677043,97.660188,1,2.993809,7.243983,-1252519320,0,0
4.6,0,-82.837465,34.683677,25.508053,1,3.840247,24.257405,1251481341,0,10
4.6,1,-82.831936,34.675694,85.775093,1,6.431048,15.365733,-33478129320,0,0
4.6,2,-82.853408,34.677042,97.660188,1,3.199577,7.56394,-1252519320,0,0
4.7,0,-82.837463,34.68368,25.508053,1,3.686747,24.62608,1251481341,0,10
4.7,1,-82.831929,34.675694,85.775093,1,6.564062,16.022139,-33478129320,0,0
4.7,2,-82.853404,34.677042,97.660188,1,3.456477,7.909588,-1252519320,0,0
4.8,0,-82.837462,34.683683,25.508053,1,3.485891,24.974669,1251481341,0,10
4.8,1,-82.831921,34.675695,85.775093,1,6.810448,16.703184,-33478129320,0,0
4.8,2,-82.8534,34.677041,97.660188,1,3.602657,8.269854,-1252519320,0,0
4.8,3,-82.834211,34.684151,212.805438,1,0,5.1,-125032230,0,0
4.9,0,-82.83746,34.683686,25.508053,1,3.745891,25.349258,1251481341,0,2
4.9,1,-82.831914,34.675696,85.775093,1,6.95021,17.398205,-33478129320,0,0
4.9,2,-82.853396,34.677041,97.660188,1,3.798608,8.649715,-1252519320,0,0
4.9,3,-82.834211,34.684151,212.805438,1,0.254474,5.125447,-125032230,0,0
5,0,-82.837458,34.683689,25.508053,1,4.005891,25.749847,1251481341,0,2
5,1,-82.831906,34.675696,85.775093,1,7.150959,18.113301,-33478129320,0,0
5,2,-82.853392,34.677041,97.660188,1,3.94501,9.044216,-1252519320,0,0
5,3,-82.834211,34.68415,212.805438,1,0.499717,5.175419,-125032230,0,0
5.1,0,-82.837456,34.683693,25.508053,1,4.265891,26.176436,1251481341,0,2
5.1,1,-82.831898,34.675697,85.775093,1,7.372438,18.850544,-33478129320,0,0
5.1,2,-82.853387,34.67704,97.660188,1,4.15157,9.459373,-1252519320,0,0
5.1,3,-82.834211,34.68415,212.805438,1,0.746693,5.250088,-125032230,0,0
5.2,0,-82.837454,34.683696,25.508053,1,4.525891,26.629025,1251481341,0,2
5.2,1,-82.83189,34.675697,85.775093,1,7.619239,19.612468,-33478129320,0,0
5.2,2,-82.853382,34.67704,97.660188,1,4.350948,9.894467,-1252519320,0,0
5.2,3,-82.834212,34.684149,212.805438,1,0.973381,5.347426,-125032230,0,0
5.3,0,-82.837452,34.6837,25.148603,1,4.785891,0.057614,11399128770,0,0
5.3,1,-82.831881,34.675698,85.775093,1,7.842683,20.396736,-33478129320,0,0
5.3,2,-82.853378,34.677039,97.660188,1,4.518359,10.346303,-1252519320,0,0
5.3,3,-82.834213,34.684148,212.805438,1,1.225715,5.469998,-125032230,0,0
5.4,0,-82.837453,34.683705,21.939423,1,5.045891,0.562204,11399128770,0,0
5.4,1,-82.831873,34.675699,85.775093,1,8.009957,21.197732,-33478129320,0,0
5.4,2,-82.853372,34.677039,97.660188,1,4.760009,10.822304,-1252519320,0,0
5.4,3,-82.834214,34.684147,212.805438,1,1.420195,5.612017,-125032230,0,0
5.5,0,-82.837454,34.68371,18.458768,1,5.305891,1.092793,11399128770,0,0
5.5,1,-82.831864,34.675699,85.775093,1,8.207554,22.018488,-33478129320,0,0
5.5,2,-82.853367,34.677038,97.660188,1,5.014472,11.323751,-1252519320,0,0
5.5,3,-82.834215,34.684146,212.805438,1,1.647376,5.776755,-125032230,0,0
5.6,0,-82.837456,34.683714,13.975807,1,5.565891,1.649382,11399128770,0,0
5.6,1,-82.831855,34.6757,85.775093,1,8.340386,22.852526,-33478129320,0,0
5.6,2,-82.853361,34.677038,97.660188,1,5.164558,11.840207,-1252519320,0,0
5.6,3,-82.834216,34.684144,212.805438,1,1.892731,5.966028,-125032230,0,0
5.7,0,-82.83746,34.683718,6.833684,1,5.825891,2.231971,11399128770,0,0
5.7,1,-82.831845,34.675701,85.775093,1,8.555594,23.708085,-33478129320,0,0
5.7,2,-82.853356,34.677037,97.660188,1,5.338329,12.37404,-1252519320,0,0
5.7,3,-82.834217,34.684143,212.805438,1,2.106355,6.176664,-125032230,0,0
5.8,0,-82.837466,34.68372,356.664348,1,6.008842,0.422855,113991287100,0,0
5.8,1,-82.831836,34.675702,85.775093,1,8.779547,24.58604,-33478129320,0,0
5.8,2,-82.85335,34.677037,97.660188,1,5.549,12.92894,-1252519320,0,0
5.8,3,-82.834218,34.684141,212.805438,1,2.285798,6.405243,-125032230,0,0
5.9,0,-82.837472,34.683719,342.545431,1,6.185496,1.041405,113991287100,0,0
5.9,1,-82.831826,34.675702,85.775093,1,8.965013,25.482541,-33478129320,0,0
5.9,2,-82.853343,34.677036,97.660188,1,5.795626,13.508503,-1252519320,0,0
5.9,3,-82.83422,34.684139,212.805438,1,2.436767,6.64892,-125032230,0,0
6,0,-82.837478,34.683716,323.427281,1,6.443595,1.685764,113991287100,0,0
6,1,-82.831816,34.675703,85.680687,1,9.11827,0.604368,379395456120,0,0
6,2,-82.853337,34.677035,97.660188,1,5.932804,14.101783,-1252519320,0,0
6,3,-82.834221,34.684137,212.805438,1,2.625366,6.911457,-125032230,0,0
6.1,0,-82.837484,34.683713,300.864021,1,6.640845,2.349849,113991287100,0,0
6.1,1,-82.831806,34.675704,85.536032,1,9.260833,1.530452,379395456120,0,0
6.1,2,-82.85333,34.677035,97.660188,1,6.06528,14.708311,-1252519320,0,0
6.1,3,-82.834223,34.684135,212.805438,1,2.770029,7.18846,-125032230,0,0
6.2,0,-82.837488,34.683707,277.987956,1,6.797111,0.61956,-1251481341,0,0
6.2,1,-82.831796,34.675705,85.388279,1,9.459695,2.476421,379395456120,0,0
6.2,2,-82.853323,34.677034,97.660188,1,6.303504,15.338661,-1252519320,0,0
6.2,3,-82.834224,34.684132,212.805438,1,2.98507,7.486967,-125032230,0,0
6.3,0,-82.837491,34.683702,255.50369,1,7.013059,1.320866,-1251481341,0,0
6.3,1,-82.831785,34.675706,85.23834,1,9.600274,3.436449,379395456120,0,0
6.3,2,-82.853316,34.677033,97.660188,1,6.563393,15.995001,-1252519320,0,0
6.3,3,-82.834226,34.68413,212.805438,1,3.159449,7.802912,-125032230,0,0
6.4,0,-82.837494,34.683696,237.559889,1,7.271543,2.04802,-1251481341,0,0
6.4,1,-82.831775,34.675707,85.085188,1,9.806732,4.417122,379395456120,0,0
6.4,2,-82.853309,34.677033,97.660188,1,6.76016,16.671017,-1252519320,0,0
